URI,order,ID,latitude,longitude
http://bioimages.vanderbilt.edu/vanderbilt/12-123,1,black walnut 1-130,36.1439,-86.79932
http://bioimages.vanderbilt.edu/vanderbilt/11-23,2,bald cypress 4-942,36.14387,-86.80001
http://bioimages.vanderbilt.edu/vanderbilt/6-60,3,southern red oak 2-123,36.14479,-86.80003
http://bioimages.vanderbilt.edu/vanderbilt/6-71,4,white ash 4-1245,36.1446,-86.79989
http://bioimages.vanderbilt.edu/vanderbilt/6-76,5,holly 2-560,36.14482,-86.80029
http://bioimages.vanderbilt.edu/vanderbilt/6-89,6,white basswood (no ID),36.14516,-86.80042
http://bioimages.vanderbilt.edu/vanderbilt/6-29,7,redbud 2-424,36.14539,-86.8
http://bioimages.vanderbilt.edu/vanderbilt/6-85,8,black walnut 2-502,36.14539,-86.80022
http://bioimages.vanderbilt.edu/vanderbilt/6-86,9,shingle oak 2-437,36.1454,-86.80029
http://bioimages.vanderbilt.edu/vanderbilt/6-116,10,bald cypress 4-1089,36.14539,-86.80107
http://bioimages.vanderbilt.edu/vanderbilt/7-302,11,tulip tree 2-260,36.14628,-86.80231
http://bioimages.vanderbilt.edu/vanderbilt/7-289,12,bitternut hickory 4-1047,36.14618,-86.8024
http://bioimages.vanderbilt.edu/vanderbilt/7-282,13,chinkapin oak 3-140,36.14603,-86.80286
http://bioimages.vanderbilt.edu/vanderbilt/7-88,14,black walnut 3-119,36.14605,-86.80317
http://bioimages.vanderbilt.edu/vanderbilt/7-87,15,tree of heaven 3-192,36.14604,-86.80326
http://bioimages.vanderbilt.edu/vanderbilt/7-298,16,red maple 2-336,36.14639,-86.80255
http://bioimages.vanderbilt.edu/vanderbilt/7-299,17,Osage orange 2-250,36.14643,-86.80253
http://bioimages.vanderbilt.edu/vanderbilt/7-306,18,northern red oak 2-351,36.1465,-86.80245
http://bioimages.vanderbilt.edu/vanderbilt/7-314,19,"bur oak 2-691 ""bicentennial oak""",36.14642,-86.80219
http://bioimages.vanderbilt.edu/vanderbilt/7-313,20,black oak 2-854,36.14655,-86.80221
http://bioimages.vanderbilt.edu/vanderbilt/7-340,21,September elm 2-528,36.14687,-86.80184
http://bioimages.vanderbilt.edu/vanderbilt/7-307,22,eastern redcedar 2-856,36.14661,-86.80262
http://bioimages.vanderbilt.edu/vanderbilt/3-63,23,American elm 2-674,36.14701,-86.80309
http://bioimages.vanderbilt.edu/vanderbilt/7-242,24,river birch 3-300,36.14681,-86.80384
http://bioimages.vanderbilt.edu/vanderbilt/7-223,25,"Shumard oak 3-196 ""Big Al""",36.14659,-86.8042
http://bioimages.vanderbilt.edu/vanderbilt/7-201,26,hophornbeam 3-771,36.14636,-86.80399
http://bioimages.vanderbilt.edu/vanderbilt/7-205,27,sycamore 3-52,36.14628,-86.80411
http://bioimages.vanderbilt.edu/vanderbilt/10-83,28,white pine 3-210,36.14577,-86.80449
http://bioimages.vanderbilt.edu/vanderbilt/10-68,29,sweetgum 4-274,36.14562,-86.80506
http://bioimages.vanderbilt.edu/vanderbilt/10-65,30,persimmon 4-733,36.14548,-86.80535
http://bioimages.vanderbilt.edu/vanderbilt/10-62,31,princess tree 4-1022,36.14526,-86.80548
http://bioimages.vanderbilt.edu/vanderbilt/9-16,32,box elder 3-178,36.14529,-86.80617
http://bioimages.vanderbilt.edu/vanderbilt/8-77,33,American elm 3-589,36.14617,-86.80505
http://bioimages.vanderbilt.edu/vanderbilt/8-70,34,sugar maple 3-366,36.14651,-86.80528
http://bioimages.vanderbilt.edu/vanderbilt/8-92,35,silver maple 3-722,36.14648,-86.80557
http://bioimages.vanderbilt.edu/vanderbilt/8-103,36,cottonwood 3-62,36.1467,-86.80568
http://bioimages.vanderbilt.edu/vanderbilt/5-72,37,red mulberry 3-388,36.14784,-86.80444
http://bioimages.vanderbilt.edu/vanderbilt/5-64,38,green ash 3-87,36.14797,-86.80427
http://bioimages.vanderbilt.edu/vanderbilt/5-81,39,swamp chestnut oak 3-250,36.14779,-86.80388
http://bioimages.vanderbilt.edu/vanderbilt/3-90,40,mockernut hickory 2-568,36.1478,-86.80285
http://bioimages.vanderbilt.edu/vanderbilt/2-43,41,sweetbay magnolia 2-70,36.14802,-86.80255
http://bioimages.vanderbilt.edu/vanderbilt/2-40,42,Chinese magnolia 2-345,36.14826,-86.80256
http://bioimages.vanderbilt.edu/vanderbilt/1-185,43,cucumber magnolia 2-558,36.14833,-86.80199
http://bioimages.vanderbilt.edu/vanderbilt/3-4,44,tulip tree 2-780,36.14798,-86.80209
http://bioimages.vanderbilt.edu/vanderbilt/1-166,45,pawpaw 2-946,36.14817,-86.80176
http://bioimages.vanderbilt.edu/vanderbilt/4-214,46,ginkgo 2-1014,36.14737,-86.80065
http://bioimages.vanderbilt.edu/vanderbilt/4-216,47,northern hackberry 2-253,36.14746,-86.8009
http://bioimages.vanderbilt.edu/vanderbilt/4-163,48,sugarberry 2-285,36.14728,-86.80109
http://bioimages.vanderbilt.edu/ind-baskauf/91069,49,bush honeysuckle (no ID),36.14648,-86.80148
http://bioimages.vanderbilt.edu/vanderbilt/6-161,50, bigleaf magnolia 2-242,36.14647,-86.80127
http://bioimages.vanderbilt.edu/vanderbilt/6-238,51,black gum 2-511,36.14627,-86.80143
http://bioimages.vanderbilt.edu/vanderbilt/6-239,52,black gum 2-1025,36.14619,-86.80137
http://bioimages.vanderbilt.edu/vanderbilt/6-153,53,bur oak 2-412,36.14622,-86.80154
http://bioimages.vanderbilt.edu/vanderbilt/7-324,54,white oak 2-304,36.14623,-86.80169
http://bioimages.vanderbilt.edu/vanderbilt/6-167,55,dogwood 2-539,36.14622,-86.80115
http://bioimages.vanderbilt.edu/vanderbilt/6-143,56,southern magnolia 2-247,36.14592,-86.80103
http://bioimages.vanderbilt.edu/vanderbilt/6-144,57,hemlock 2-189,36.14597,-86.80087
http://bioimages.vanderbilt.edu/vanderbilt/6-145,58,dawn redwood 2-985,36.14607,-86.80078
http://bioimages.vanderbilt.edu/vanderbilt/6-189,59,American hornbeam 2-950,36.14607,-86.80042
http://bioimages.vanderbilt.edu/vanderbilt/6-208,60,beech 2-194,36.14636,-86.80027
http://bioimages.vanderbilt.edu/vanderbilt/6-215,61,sassafras 2-993,36.14657,-86.80013
http://bioimages.vanderbilt.edu/vanderbilt/6-193,62,willow oak 2-795,36.14606,-86.79987
http://bioimages.vanderbilt.edu/vanderbilt/6-17,63,northern catalpa 2-930,36.14586,-86.79971
